uzbek_word,russian_gloss,category,r2_key,public_url,content_type,duration_seconds,width,height,fps,codec,orientation,quality_status,signer_sample_note,admin_note
ishlamoq,работать,action,,,,,,,,,,missing,,
o'ynamoq,играть,action,,,,,,,,,,missing,,
sevmoq,любить,action,,,,,,,,,,missing,,
yordam bermoq,помогать,action,,,,,,,,,,missing,,
bermoq,давать,action,,,,,,,,,,missing,,
olmoq,брать,action,,,,,,,,,,missing,,
yashamoq,жить,action,,,,,,,,,,missing,,
uxlamoq,спать,action,,,,,,,,,,missing,,
turmoq,стоять,action,,,,,,,,,,missing,,
o'tirmoq,сидеть,action,,,,,,,,,,missing,,
yugurmoq,бежать,action,,,,,,,,,,missing,,
kutmoq,ждать,action,,,,,,,,,,missing,,
sotib olmoq,купить,action,,,,,,,,,,missing,,
tushunmoq,понимать,action,,,,,,,,,,missing,,
o'ylamoq,думать,action,,,,,,,,,,missing,,
eslamoq,помнить,action,,,,,,,,,,missing,,
unutmoq,забыть,action,,,,,,,,,,missing,,
ochmoq,открыть,action,,,,,,,,,,missing,,
yopmoq,закрыть,action,,,,,,,,,,missing,,
boshlamoq,начать,action,,,,,,,,,,missing,,
tugatmoq,закончить,action,,,,,,,,,,missing,,
ko'chmoq,переехать,action,,,,,,,,,,missing,,
baxtli,счастливый,emotion,,,,,,,,,,missing,,
xursand,радостный,emotion,,,,,,,,,,missing,,
qayg'uli,грустный,emotion,,,,,,,,,,missing,,
g'azablangan,злой,emotion,,,,,,,,,,missing,,
xavotirli,тревожный,emotion,,,,,,,,,,missing,,
yaxshi,хорошо,emotion,,,,,,,,,,missing,,
yomon,плохо,emotion,,,,,,,,,,missing,,
tinch,спокойный,emotion,,,,,,,,,,missing,,
charchagan,уставший,emotion,,,,,,,,,,missing,,
kasal,больной,emotion,,,,,,,,,,missing,,
sog'lom,здоровый,emotion,,,,,,,,,,missing,,
hayron,удивлённый,emotion,,,,,,,,,,missing,,
qo'rqinchli,страшный,emotion,,,,,,,,,,missing,,
xafa,обиженный,emotion,,,,,,,,,,missing,,
bugun,сегодня,time,,,,,,,,,,missing,,
ertaga,завтра,time,,,,,,,,,,missing,,
kecha,вчера,time,,,,,,,,,,missing,,
hozir,сейчас,time,,,,,,,,,,missing,,
ertalab,утром,time,,,,,,,,,,missing,,
tushlik,обед,time,,,,,,,,,,missing,,
kechqurun,вечером,time,,,,,,,,,,missing,,
tun,ночь,time,,,,,,,,,,missing,,
hafta,неделя,time,,,,,,,,,,missing,,
oy,месяц,time,,,,,,,,,,missing,,
yil,год,time,,,,,,,,,,missing,,
soat,час,time,,,,,,,,,,missing,,
daqiqa,минута,time,,,,,,,,,,missing,,
doim,всегда,time,,,,,,,,,,missing,,
hech qachon,никогда,time,,,,,,,,,,missing,,
uy,дом,object,,,,,,,,,,missing,,
maktab,школа,object,,,,,,,,,,missing,,
suv,вода,object,,,,,,,,,,missing,,
ovqat,еда,object,,,,,,,,,,missing,,
kitob,книга,object,,,,,,,,,,missing,,
shahar,город,object,,,,,,,,,,missing,,
mamlakat,страна,object,,,,,,,,,,missing,,
do'st,друг,object,,,,,,,,,,missing,,
shifokor,врач,object,,,,,,,,,,missing,,
o'qituvchi,учитель,object,,,,,,,,,,missing,,
ish,работа,object,,,,,,,,,,missing,,
mashina,машина,object,,,,,,,,,,missing,,
telefon,телефон,object,,,,,,,,,,missing,,
pul,деньги,object,,,,,,,,,,missing,,
do'kon,магазин,object,,,,,,,,,,missing,,
kasalxona,больница,object,,,,,,,,,,missing,,
ko'cha,улица,object,,,,,,,,,,missing,,
park,парк,object,,,,,,,,,,missing,,
odam,человек,object,,,,,,,,,,missing,,
erkak,мужчина,object,,,,,,,,,,missing,,
ayol,женщина,object,,,,,,,,,,missing,,
non,хлеб,object,,,,,,,,,,missing,,
sut,молоко,object,,,,,,,,,,missing,,
meva,фрукт,object,,,,,,,,,,missing,,
sabzavot,овощ,object,,,,,,,,,,missing,,
kiyim,одежда,object,,,,,,,,,,missing,,
poyabzal,обувь,object,,,,,,,,,,missing,,
stol,стол,object,,,,,,,,,,missing,,
stul,стул,object,,,,,,,,,,missing,,
deraza,окно,object,,,,,,,,,,missing,,
katta,большой,adjective,,,,,,,,,,missing,,
kichik,маленький,adjective,,,,,,,,,,missing,,
yangi,новый,adjective,,,,,,,,,,missing,,
eski,старый,adjective,,,,,,,,,,missing,,
chiroyli,красивый,adjective,,,,,,,,,,missing,,
issiq,горячий,adjective,,,,,,,,,,missing,,
sovuq,холодный,adjective,,,,,,,,,,missing,,
tez,быстрый,adjective,,,,,,,,,,missing,,
sekin,медленный,adjective,,,,,,,,,,missing,,
kuchli,сильный,adjective,,,,,,,,,,missing,,
uzun,длинный,adjective,,,,,,,,,,missing,,
kalta,короткий,adjective,,,,,,,,,,missing,,
og'ir,тяжёлый,adjective,,,,,,,,,,missing,,
yengil,лёгкий,adjective,,,,,,,,,,missing,,
to'g'ri,правильный,adjective,,,,,,,,,,missing,,
noto'g'ri,неправильный,adjective,,,,,,,,,,missing,,
muhim,важный,adjective,,,,,,,,,,missing,,
oson,лёгкий,adjective,,,,,,,,,,missing,,
ha,да,basic,,,,,,,,,,missing,,
yo'q,нет,basic,,,,,,,,,,missing,,
bor,есть,basic,,,,,,,,,,missing,,
kerak,нужно,basic,,,,,,,,,,missing,,
mumkin,можно,basic,,,,,,,,,,missing,,
shart,обязательно,basic,,,,,,,,,,missing,,
balki,может быть,basic,,,,,,,,,,missing,,
faqat,только,basic,,,,,,,,,,missing,,
