uzbek_word,russian_gloss,category,r2_key,public_url,content_type,duration_seconds,width,height,fps,codec,orientation,quality_status,signer_sample_note,admin_note
o'n,десять,number,clips/signs/number/on.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/number/on.mp4,video/mp4,2.3,360,640,30,h264,portrait,demo_ready,Slovo fb4f22c7-7b96-4dc5-bc63-b2691e6825a1 (signer bd0fc003),
o'n bir,одиннадцать,number,,,,,,,,,,missing,,
o'n ikki,двенадцать,number,,,,,,,,,,missing,,
o'n uch,тринадцать,number,,,,,,,,,,missing,,
o'n to'rt,четырнадцать,number,,,,,,,,,,missing,,
o'n besh,пятнадцать,number,clips/signs/number/on_besh.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/number/on_besh.mp4,video/mp4,2.13,360,640,30,h264,portrait,demo_ready,Slovo b02ecfa1-e559-4bd4-8cd6-777b7213af29 (signer dafc9199),
o'n olti,шестнадцать,number,,,,,,,,,,missing,,
o'n yetti,семнадцать,number,,,,,,,,,,missing,,
o'n sakkiz,восемнадцать,number,,,,,,,,,,missing,,
o'n to'qqiz,девятнадцать,number,clips/signs/number/on_toqqiz.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/number/on_toqqiz.mp4,video/mp4,2.4,360,640,30,h264,portrait,demo_ready,Slovo cdc719cc-2513-4458-883f-aeea7c8030c6 (signer 8fe40f6f),
yigirma,двадцать,number,,,,,,,,,,missing,,
qizil,красный,color,,,,,,,,,,missing,,
ko'k,синий,color,,,,,,,,,,missing,,
yashil,зелёный,color,clips/signs/color/yashil.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/color/yashil.mp4,video/mp4,2.63,360,640,30,h264,portrait,demo_ready,Slovo 113b6eec-add5-4701-bd1e-1755ee355087 (signer d9c9d54e),
sariq,жёлтый,color,,,,,,,,,,missing,,
oq,белый,color,clips/signs/color/oq.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/color/oq.mp4,video/mp4,1.77,360,640,30,h264,portrait,demo_ready,Slovo fbd6e52b-f734-47d2-b611-3589cbd0abea (signer dbc8429e),
qora,чёрный,color,,,,,,,,,,missing,,
pushti,розовый,color,clips/signs/color/pushti.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/color/pushti.mp4,video/mp4,2.07,360,640,30,h264,portrait,demo_ready,Slovo 6ca37d2a-5b86-4e54-b571-36f24dfa0b26 (signer 1f934c6f),
jigarrang,коричневый,color,,,,,,,,,,missing,,
to'q sariq,оранжевый,color,,,,,,,,,,missing,,
kulrang,серый,color,clips/signs/color/kulrang.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/color/kulrang.mp4,video/mp4,1.97,360,640,30,h264,portrait,demo_ready,Slovo 8580cc1d-1415-49ba-84d3-91e502e24b41 (signer d2b4042e),
bormoq,идти,action,,,,,,,,,,missing,,
kelmoq,приходить,action,,,,,,,,,,missing,,
yemoq,есть,action,,,,,,,,,,missing,,
ichmoq,пить,action,clips/signs/action/ichmoq.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/action/ichmoq.mp4,video/mp4,1.67,360,640,30,h264,portrait,demo_ready,Slovo 399dc194-4744-4d16-8c61-20a94fa09a48 (signer 3018b64d),
o'qimoq,читать,action,,,,,,,,,,missing,,
o'rganmoq,учиться,action,,,,,,,,,,missing,,
yozmoq,писать,action,,,,,,,,,,missing,,
gapirmoq,говорить,action,,,,,,,,,,missing,,
tinglamoq,слушать,action,clips/signs/action/tinglamoq.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/action/tinglamoq.mp4,video/mp4,2.0,360,640,30,h264,portrait,demo_ready,Slovo bdb55596-da5e-4cc2-b4ca-8b87cfff2908 (signer a2d3f722),
ko'rmoq,смотреть,action,,,,,,,,,,missing,,
bilmoq,знать,action,,,,,,,,,,missing,,
xohlamoq,хотеть,action,,,,,,,,,,missing,,
qilmoq,делать,action,,,,,,,,,,missing,,
ishlamoq,работать,action,,,,,,,,,,missing,,
o'ynamoq,играть,action,,,,,,,,,,missing,,
sevmoq,любить,action,clips/signs/action/sevmoq.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/action/sevmoq.mp4,video/mp4,1.83,360,640,30,h264,portrait,demo_ready,Slovo c51c70c9-cff4-4b15-a1a7-3bd58266d034 (signer bd0fc003),
yordam bermoq,помогать,action,,,,,,,,,,missing,,
bermoq,давать,action,,,,,,,,,,missing,,
olmoq,брать,action,,,,,,,,,,missing,,
yashamoq,жить,action,,,,,,,,,,missing,,
uxlamoq,спать,action,,,,,,,,,,missing,,
turmoq,стоять,action,,,,,,,,,,missing,,
o'tirmoq,сидеть,action,,,,,,,,,,missing,,
yugurmoq,бежать,action,,,,,,,,,,missing,,
kutmoq,ждать,action,,,,,,,,,,missing,,
sotib olmoq,купить,action,,,,,,,,,,missing,,
tushunmoq,понимать,action,,,,,,,,,,missing,,
o'ylamoq,думать,action,clips/signs/action/oylamoq.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/action/oylamoq.mp4,video/mp4,2.4,360,640,30,h264,portrait,demo_ready,Slovo 187ad025-5899-4371-858e-b42f6ac9cf7d (signer d4b56cd9),
eslamoq,помнить,action,,,,,,,,,,missing,,
unutmoq,забыть,action,,,,,,,,,,missing,,
ochmoq,открыть,action,,,,,,,,,,missing,,
yopmoq,закрыть,action,,,,,,,,,,missing,,
boshlamoq,начать,action,,,,,,,,,,missing,,
tugatmoq,закончить,action,,,,,,,,,,missing,,
ko'chmoq,переехать,action,,,,,,,,,,missing,,
baxtli,счастливый,emotion,,,,,,,,,,missing,,
xursand,радостный,emotion,,,,,,,,,,missing,,
qayg'uli,грустный,emotion,,,,,,,,,,missing,,
g'azablangan,злой,emotion,,,,,,,,,,missing,,
xavotirli,тревожный,emotion,,,,,,,,,,missing,,
yaxshi,хорошо,emotion,clips/signs/emotion/yaxshi.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/emotion/yaxshi.mp4,video/mp4,1.83,360,640,30,h264,portrait,demo_ready,Slovo fecaec6d-dbec-4b4a-a6db-436ad56d927a (signer bcf5a67e),
yomon,плохо,emotion,,,,,,,,,,missing,,
tinch,спокойный,emotion,,,,,,,,,,missing,,
charchagan,уставший,emotion,,,,,,,,,,missing,,
kasal,больной,emotion,,,,,,,,,,missing,,
sog'lom,здоровый,emotion,,,,,,,,,,missing,,
hayron,удивлённый,emotion,,,,,,,,,,missing,,
qo'rqinchli,страшный,emotion,,,,,,,,,,missing,,
xafa,обиженный,emotion,,,,,,,,,,missing,,
bugun,сегодня,time,,,,,,,,,,missing,,
ertaga,завтра,time,,,,,,,,,,missing,,
kecha,вчера,time,,,,,,,,,,missing,,
hozir,сейчас,time,,,,,,,,,,missing,,
ertalab,утром,time,,,,,,,,,,missing,,
tushlik,обед,time,,,,,,,,,,missing,,
kechqurun,вечером,time,,,,,,,,,,missing,,
tun,ночь,time,,,,,,,,,,missing,,
hafta,неделя,time,,,,,,,,,,missing,,
oy,месяц,time,,,,,,,,,,missing,,
yil,год,time,,,,,,,,,,missing,,
soat,час,time,,,,,,,,,,missing,,
daqiqa,минута,time,,,,,,,,,,missing,,
doim,всегда,time,,,,,,,,,,missing,,
hech qachon,никогда,time,,,,,,,,,,missing,,
uy,дом,object,,,,,,,,,,missing,,
maktab,школа,object,,,,,,,,,,missing,,
suv,вода,object,,,,,,,,,,missing,,
ovqat,еда,object,,,,,,,,,,missing,,
kitob,книга,object,clips/signs/object/kitob.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/object/kitob.mp4,video/mp4,2.3,360,640,30,h264,portrait,demo_ready,Slovo 77ec105a-1472-492c-a566-a5b797a070f0 (signer bd0fc003),
shahar,город,object,,,,,,,,,,missing,,
mamlakat,страна,object,,,,,,,,,,missing,,
do'st,друг,object,clips/signs/object/dost.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/object/dost.mp4,video/mp4,2.0,360,640,30,h264,portrait,demo_ready,Slovo 09e0e09b-03d9-4993-a2b1-271a83b31511 (signer 63db05b1),
shifokor,врач,object,,,,,,,,,,missing,,
o'qituvchi,учитель,object,,,,,,,,,,missing,,
ish,работа,object,,,,,,,,,,missing,,
mashina,машина,object,,,,,,,,,,missing,,
telefon,телефон,object,,,,,,,,,,missing,,
pul,деньги,object,,,,,,,,,,missing,,
do'kon,магазин,object,,,,,,,,,,missing,,
kasalxona,больница,object,,,,,,,,,,missing,,
ko'cha,улица,object,,,,,,,,,,missing,,
park,парк,object,,,,,,,,,,missing,,
odam,человек,object,,,,,,,,,,missing,,
erkak,мужчина,object,clips/signs/object/erkak.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/object/erkak.mp4,video/mp4,1.83,360,640,30,h264,portrait,demo_ready,Slovo f563bae2-1038-4f7a-bdd3-5d8999ee8e20 (signer a2d3f722),
ayol,женщина,object,,,,,,,,,,missing,,
non,хлеб,object,,,,,,,,,,missing,,
sut,молоко,object,,,,,,,,,,missing,,
meva,фрукт,object,,,,,,,,,,missing,,
sabzavot,овощ,object,,,,,,,,,,missing,,
kiyim,одежда,object,,,,,,,,,,missing,,
poyabzal,обувь,object,,,,,,,,,,missing,,
stol,стол,object,,,,,,,,,,missing,,
stul,стул,object,,,,,,,,,,missing,,
deraza,окно,object,,,,,,,,,,missing,,
katta,большой,adjective,,,,,,,,,,missing,,
kichik,маленький,adjective,,,,,,,,,,missing,,
yangi,новый,adjective,clips/signs/adjective/yangi.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/adjective/yangi.mp4,video/mp4,1.67,360,640,30,h264,portrait,demo_ready,Slovo bab36b64-c3a7-42a7-8002-f5641273b38f (signer a2d3f722),
eski,старый,adjective,clips/signs/adjective/eski.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/adjective/eski.mp4,video/mp4,1.77,360,640,30,h264,portrait,demo_ready,Slovo 4f494b27-2fae-46d6-ab4c-ab1a756afb51 (signer bd0fc003),
chiroyli,красивый,adjective,,,,,,,,,,missing,,
issiq,горячий,adjective,,,,,,,,,,missing,,
sovuq,холодный,adjective,clips/signs/adjective/sovuq.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/adjective/sovuq.mp4,video/mp4,2.07,360,640,30,h264,portrait,demo_ready,Slovo 72c290ed-3d16-4dae-8068-9e8cad69e6dc (signer d4b56cd9),
tez,быстрый,adjective,,,,,,,,,,missing,,
sekin,медленный,adjective,,,,,,,,,,missing,,
kuchli,сильный,adjective,,,,,,,,,,missing,,
uzun,длинный,adjective,,,,,,,,,,missing,,
kalta,короткий,adjective,,,,,,,,,,missing,,
og'ir,тяжёлый,adjective,,,,,,,,,,missing,,
yengil,лёгкий,adjective,clips/signs/adjective/yengil.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/adjective/yengil.mp4,video/mp4,2.47,360,640,30,h264,portrait,demo_ready,Slovo 5b764070-5711-480e-ab71-9f8e229a1048 (signer d4b56cd9),
to'g'ri,правильный,adjective,,,,,,,,,,missing,,
noto'g'ri,неправильный,adjective,,,,,,,,,,missing,,
muhim,важный,adjective,clips/signs/adjective/muhim.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/adjective/muhim.mp4,video/mp4,2.9,360,640,30,h264,portrait,demo_ready,Slovo 91c3faaf-19c0-49ed-bbbd-d018051560dd (signer 63db05b1),
oson,лёгкий,adjective,clips/signs/adjective/oson.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/adjective/oson.mp4,video/mp4,2.47,360,640,30,h264,portrait,demo_ready,Slovo 5b764070-5711-480e-ab71-9f8e229a1048 (signer d4b56cd9),
ha,да,basic,clips/signs/basic/ha.mp4,https://pub-1e6b8ef8e36042f29f930948b32033aa.r2.dev/clips/signs/basic/ha.mp4,video/mp4,2.13,360,640,30,h264,portrait,demo_ready,Slovo e1651e4b-d145-4e5e-8a5f-52261e4b1242 (signer d4b56cd9),
yo'q,нет,basic,,,,,,,,,,missing,,
bor,есть,basic,,,,,,,,,,missing,,
kerak,нужно,basic,,,,,,,,,,missing,,
mumkin,можно,basic,,,,,,,,,,missing,,
shart,обязательно,basic,,,,,,,,,,missing,,
balki,может быть,basic,,,,,,,,,,missing,,
faqat,только,basic,,,,,,,,,,missing,,
